"country","continent","year","lifeExp","pop","gdpPercap"
"Spain","Europe",1952,64.94,28549870,3834.034742
"Spain","Europe",1957,66.66,29841614,4564.80241
"Spain","Europe",1962,69.69,31158061,5693.843879
"Spain","Europe",1967,71.44,32850275,7993.512294
"Spain","Europe",1972,73.06,34513161,10638.75131
"Spain","Europe",1977,74.39,36439000,13236.92117
"Spain","Europe",1982,76.3,37983310,13926.16997
"Spain","Europe",1987,76.9,38880702,15764.98313
"Spain","Europe",1992,77.57,39549438,18603.06452
"Spain","Europe",1997,78.77,39855442,20445.29896
"Spain","Europe",2002,79.78,40152517,24835.47166
"Spain","Europe",2007,80.941,40448191,28821.0637
